task_id,repo,external_id,origin,title,branch,pr_number,category,sub_reason,last_error,push_failures,no_code_reroutes,attempts,agent,model,created_at
31303,gabrielkoerich/orch,1434,github,bug: tasks marked done without a PR — agent work silently discarded,gh-issue-1434-bug-tasks-marked-done-without-a-pr-agent,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,opencode,github-copilot/gpt-5-mini,2026-04-01T10:10:29Z
31232,gabrielkoerich/orch,internal:31232,internal,Code quality review,internal-31232-code-quality-review,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-04-01T08:00:06Z
31096,gabrielkoerich/orch,internal:31096,internal,Code development: find improvements and create tasks,internal-31096-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,1,claude,opus,2026-04-01T06:00:06Z
30584,gabrielkoerich/bean,internal:30584,internal,Trading scan: discover setups from top coins + trending,internal-30584-trading-scan-discover-setups-from-top-co,,A,Internal task (likely research/analysis only),,0,0,1,claude,opus,2026-03-31T21:00:07Z
30583,gabrielkoerich/orch,internal:30583,internal,Self-improvement: debug agent errors and fix root causes,internal-30583-self-improvement-debug-agent-errors-and,,A,Internal task (likely research/analysis only),,0,0,1,claude,opus,2026-03-31T21:00:06Z
30542,gabrielkoerich/orch,internal:30542,internal,Code review,internal-30542-code-review,,A,Internal task (likely research/analysis only),,0,0,2,claude,sonnet,2026-03-31T20:00:02Z
30462,gabrielkoerich/orch,internal:30462,internal,Code development: find improvements and create tasks,internal-30462-code-development-find-improvements-and-c,,A,Internal task succeeded after reroutes (likely research/analysis only),"claude exit 1: sonnet-4-6"":{""inputTokens"":14,""outputTokens"":4030,""cacheReadInputTokens"":398088,""cacheCreationInputTokens"":30892,""webSearchRequests"":0,""costUSD"":0.2957634,""contextWindow"":200000,""maxOut",0,0,1,opencode,opencode/mimo-v2-omni-free,2026-03-31T18:00:03Z
30447,gabrielkoerich/orch,1384,github,bug: auto_unblock_count >= 3 early exit fires before reason-change reset — tasks permanently stuck after 3 unblocks even with new failure type,gh-issue-1384-bug-auto-unblock-count-3-early-exit-fire,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,claude,sonnet,2026-03-31T17:04:54Z
30446,gabrielkoerich/orch,1385,github,bug: review subscriber model-cooldown wait uses agent-level cooldown keys — always sleeps 1h instead of actual model cooldown expiry,gh-issue-1385-bug-review-subscriber-model-cooldown-wai,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,claude,sonnet,2026-03-31T17:04:54Z
30444,gabrielkoerich/orch,internal:30444,internal,Code review,internal-30444-code-review,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-31T17:00:03Z
30397,gabrielkoerich/orch,1379,github,bug: branch delete after merge logs WARN on 422 when GitHub auto-deleted the branch,gh-issue-1379-bug-branch-delete-after-merge-logs-warn,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,claude,haiku,2026-03-31T15:20:11Z
30378,gabrielkoerich/orch,internal:30378,internal,Code development: find improvements and create tasks,internal-30378-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,0,claude,sonnet,2026-03-31T15:00:01Z
30358,gabrielkoerich/bean,internal:30358,internal,Trading update: manage positions and update prices,internal-30358-trading-update-manage-positions-and-upda,"275 (CLOSED, not merged)",D,PR created but closed without merge (PR #275),"create PR failed: GitHub API error: GitHub API POST https://api.github.com/repos/gabrielkoerich/bean/pulls failed (502 Bad Gateway): {
  ""message"": ""Server Error""
}
",0,0,1,claude,sonnet,2026-03-31T13:57:19Z
30357,gabrielkoerich/bean,internal:30357,internal,Trading scan: discover setups from top coins + trending,internal-30357-trading-scan-discover-setups-from-top-co,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-31T13:56:44Z
30285,gabrielkoerich/orch,1370,github,bug: parse failures in runner — many Claude runs synthesize plain text instead of structured output,gh-issue-1370-bug-parse-failures-in-runner-many-claude,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,claude,sonnet,2026-03-31T11:02:10Z
30281,gabrielkoerich/orch,internal:30281,internal,Self-improvement: debug agent errors and fix root causes,internal-30281-self-improvement-debug-agent-errors-and,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-31T11:00:07Z
30226,gabrielkoerich/bean,272,github,Research: Motif latest news + Divya recent activity (interview April 1),gh-issue-272-research-motif-latest-news-divya-recent,,A,GitHub task likely non-code (research/proposal),,0,0,1,claude,haiku,2026-03-31T10:05:16Z
30223,gabrielkoerich/orch,1366,github,bug: sqlx-sqlite worker threads panicking with index out of bounds on row access,gh-issue-1366-bug-sqlx-sqlite-worker-threads-panicking,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,claude,sonnet,2026-03-31T10:04:10Z
30219,gabrielkoerich/orch,internal:30219,internal,Daily morning review,internal-30219-daily-morning-review,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-31T10:00:07Z
30215,gabrielkoerich/bean,internal:30215,internal,Trading scan: discover setups from top coins + trending,internal-30215-trading-scan-discover-setups-from-top-co,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-31T09:00:08Z
30201,gabrielkoerich/orch,internal:30201,internal,Code review,internal-30201-code-review,,A,Internal task (likely research/analysis only),,0,0,1,claude,opus,2026-03-31T08:00:07Z
30197,gabrielkoerich/orch,internal:30197,internal,Code development: find improvements and create tasks,internal-30197-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-31T06:00:07Z
30102,gabrielkoerich/orch,1359,github,Propose opt-in weight-threshold layered on main's degradation checks,gh-issue-1359-propose-opt-in-weight-threshold-layered,,A,GitHub task likely non-code (research/proposal),,0,0,1,opencode,opencode/qwen3.6-plus-free,2026-03-31T00:31:06Z
30046,gabrielkoerich/orch,1357,github,Proposal: opt-in weight-threshold agent skipping layered on top of is_agent_degraded(),gh-issue-1357-proposal-opt-in-weight-threshold-agent-s,,A,GitHub task likely non-code (research/proposal),,0,0,1,opencode,opencode/mimo-v2-pro-free,2026-03-31T00:22:34Z
30027,gabrielkoerich/orch,1355,github,Close PR and open an issue: propose opt‑in weight‑threshold layered on top of main,gh-issue-1355-close-pr-and-open-an-issue-propose-opt-i,,A,Legitimate non-code completion (agent reported no code changes),agent completed without code changes,0,0,1,opencode,opencode/nemotron-3-super-free,2026-03-31T00:19:31Z
29967,gabrielkoerich/orch,1353,github,proposal: opt-in router.skip_limited_threshold to layer on main's is_agent_degraded() checks,gh-issue-1353-proposal-opt-in-router-skip-limited-thre,,A,GitHub task likely non-code (research/proposal),,0,0,1,claude,sonnet,2026-03-31T00:07:11Z
29957,gabrielkoerich/orch,1352,github,Close PR and open an issue proposing opt-in weight-threshold (layered on main),gh-issue-1352-close-pr-and-open-an-issue-proposing-opt,,A,Legitimate non-code completion (agent reported no code changes),agent completed without code changes,0,1,2,claude,haiku,2026-03-31T00:04:53Z
29913,gabrielkoerich/orch,1350,github,Close PR and open issue: propose opt‑in weight‑threshold (layered on main),gh-issue-1350-close-pr-and-open-issue-propose-opt-in-w,,A,Legitimate non-code completion (agent reported no code changes),agent completed without code changes,0,0,1,claude,sonnet,2026-03-30T23:56:31Z
29912,gabrielkoerich/orch,1351,github,If keeping change: rebase branch onto main and rework weight-threshold integration,gh-issue-1351-if-keeping-change-rebase-branch-onto-mai,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,claude,sonnet,2026-03-30T23:56:31Z
